instante,TA,HA,radiacion,precipitacion,eto
2018-01-01 00:30:00,15.32,38.46,0.0,0.0,2.96
2018-01-01 01:00:00,14.81,37.61,0.0,0.0,2.96
2018-01-01 01:30:00,14.53,39.27,0.0,0.0,2.96
2018-01-01 02:00:00,14.33,38.63,0.0,0.0,2.96
2018-01-01 02:30:00,13.8,36.77,0.0,0.0,2.96
2018-01-01 03:00:00,13.62,35.21,0.0,0.0,2.96
2018-01-01 03:30:00,13.31,36.48,0.0,0.0,2.96
2018-01-01 04:00:00,12.81,39.08,0.0,0.0,2.96
2018-01-01 04:30:00,12.7,38.45,0.0,0.0,2.96
2018-01-01 05:00:00,11.95,40.42,0.0,0.0,2.96
2018-01-01 05:30:00,12.32,41.3,0.0,0.0,2.96
2018-01-01 06:00:00,11.69,43.36,0.0,0.0,2.96
2018-01-01 06:30:00,11.34,46.22,0.0,0.0,2.96
2018-01-01 07:00:00,10.96,48.18,0.0,0.0,2.96
2018-01-01 07:30:00,11.31,46.64,4.21,0.0,2.96
2018-01-01 08:00:00,11.2,45.73,46.54,0.0,2.96
2018-01-01 08:30:00,12.54,42.4,130.8,0.0,2.96
2018-01-01 09:00:00,11.89,47.0,212.9,0.0,2.96
2018-01-01 09:30:00,13.09,43.01,287.9,0.0,2.96
2018-01-01 10:00:00,14.0,41.51,291.2,0.0,2.96
2018-01-01 10:30:00,15.38,35.76,380.1,0.0,2.96
2018-01-01 11:00:00,16.98,32.21,464.1,0.0,2.96
2018-01-01 11:30:00,17.62,28.56,494.9,0.0,2.96
2018-01-01 12:00:00,17.49,31.1,512.9,0.0,2.96
2018-01-01 12:30:00,18.67,29.0,515.3,0.0,2.96
2018-01-01 13:00:00,18.65,28.94,504.9,0.0,2.96
2018-01-01 13:30:00,18.9,27.8,462.3,0.0,2.96
2018-01-01 14:00:00,19.25,24.67,438.8,0.0,2.96
2018-01-01 14:30:00,19.27,22.91,395.1,0.0,2.96
2018-01-01 15:00:00,19.71,21.52,365.0,0.0,2.96
2018-01-01 15:30:00,19.71,22.1,270.6,0.0,2.96
2018-01-01 16:00:00,19.53,22.92,170.6,0.0,2.96
2018-01-01 16:30:00,18.67,23.86,86.6,0.0,2.96
2018-01-01 17:00:00,17.2,27.68,16.01,0.0,2.96
2018-01-01 17:30:00,14.66,43.12,0.72,0.0,2.96
2018-01-01 18:00:00,14.5,41.68,0.0,0.0,2.96
2018-01-01 18:30:00,14.11,41.78,0.0,0.0,2.96
2018-01-01 19:00:00,13.93,36.97,0.0,0.0,2.96
2018-01-01 19:30:00,16.34,26.07,0.0,0.0,2.96
2018-01-01 20:00:00,16.08,26.68,0.0,0.0,2.96
